latitude,longitude,area_km2
51.44995,-0.46579704,0.014753593
40.478447,-74.81642,0.0188319
38.74463,-9.156534,81.548294
46.347496,16.360386,6.026328
43.348576,-8.402029,0.015844185
26.164722,84.02762,0.11736264
-0.827723,122.1669,0.024615644
11.473885,77.1695,0.055020966
-24.971882,-53.435776,0.023270639
21.66667,39.25589,0.022920623
39.237724,-8.6911745,56.03415
37.492924,126.73747,0.6943925
43.90853,10.972371,0.22180328
23.007402,120.42998,0.022706296
54.15421,19.42787,0.08969252
46.98636,3.158559,16.143522
-21.659555,-41.78467,1028.0406
21.14422,104.99788,70.564026
45.044575,23.286886,0.043732427
-0.8990769,116.76629,0.024155702
34.61331,-92.48951,50.588905
28.236996,-97.32549,1.896738
23.249763,-106.41045,84.865166
35.850475,14.5262165,0.14361884
5.0726757,97.23051,0.6388394
14.552893,79.357704,0.049764797
26.828842,92.77471,0.2606013
-0.43444586,100.28411,30.540245
47.453114,26.09085,2.198215
20.723686,-103.446686,1.7790546
13.794054,100.81695,0.011885002
19.647493,-99.21816,82.05336
3.5300064,98.68025,0.009022229
-5.4134655,105.257996,0.25267994
32.04557,75.40737,14.54768
48.56009,13.367472,1524.5079
4.6527157,95.675064,12.73018
-36.733215,175.7369,15.783887
-7.126493,112.39207,43.30596
27.096853,68.59832,0.53385454
19.360617,-98.991356,0.0147621995
37.817318,127.44888,837.8953
22.735529,72.44115,11.805673
20.678225,-103.44892,2.3008192
43.88977,8.0138645,19.859852
-16.547215,-68.07397,0.006118309
45.375816,-0.845971,0.017410986
43.92547,3.7357051,6.0396533
-8.769142,-63.84517,3.181106
28.649284,-96.90433,7.2763395
45.348927,11.8081875,2142.0593
32.262398,-110.895905,0.038531065
39.541668,2.423889,0.019088015
46.829582,28.59083,9.22539
37.0214,-88.083336,655.90576
44.670506,8.426184,0.55981433
50.543213,5.572332,0.015770357
26.747673,85.42602,0.36570713
26.278034,119.82885,3018.2756
39.570328,20.315247,0.27468157
25.250427,79.06175,1.5597043
-6.240803,106.5672,30.156494
44.92193,7.599963,17.382832
-3.6800888,121.883896,0.17412274
49.10242,3.355086,22.19986
-21.239828,55.37369,22.432522
46.72501,-84.37248,0.13512471
24.842594,89.374626,61.765263
9.866804,-84.048004,2.1031551
-23.151987,-48.628975,971.965
8.587382,99.885,35.40902
2.241088,102.23748,135.25171
10.743667,106.632034,0.8334565
19.689945,-101.146545,0.16984272
43.59118,20.8916,17.95859
27.685566,85.307556,1.5548649
19.93007,-96.849304,6.654545
18.744871,98.942085,6.275153
25.090002,121.47192,6.08261
37.916615,-92.18014,0.9310225
10.681138,-61.44277,238.935
12.87482,74.95585,0.40285918
18.882868,-99.4854,215.09734
51.448803,-0.87259674,0.21442162
-4.131557,-43.323086,0.024555875
47.83821,26.294119,1.7458605
26.096985,87.94259,16.392965
47.528435,-122.03903,0.04455839
43.197193,17.185856,20.58211
-20.484257,-54.60218,0.7101594
50.29654,19.041712,0.028710147
50.249607,4.9434958,97.3405
-34.759514,-58.202175,21.344166
25.441858,81.83569,0.21842602
28.394463,77.52225,0.11480533
10.33234,107.07699,0.9822108
10.769097,106.788605,5.172662
31.139263,-90.10754,0.13783589
11.410113,-69.65887,0.022077426
24.12389,-110.3068,0.018631943
5.3125815,95.935875,23.479874
-7.4490466,112.70372,27.161713
-23.435713,-45.08251,0.460942
-36.90287,174.72522,849.1849
26.952362,-101.44401,0.04567546
-38.066944,-57.543056,0.019480672
-19.657213,-43.237625,0.5971338
40.752472,-124.18237,0.080061615
32.26085,75.15587,18.264585
20.68743,-103.35071,0.16960783
24.593548,94.04441,4.489183
17.336718,81.63136,5.412088
9.925153,8.903358,0.0371296
33.74364,-84.261505,0.019974807
50.45057,30.420578,0.49723098
3.7932756,101.86805,0.58474547
40.38665,-74.10375,0.062975906
14.543105,-12.218623,0.023849484
-4.0048733,120.16996,2499.8728
50.414005,-5.073327,11.176172
33.298996,126.41905,21.783092
38.00482,128.59567,632.4323
43.865757,-75.294525,0.21278985
-6.111386,106.16241,19.11337
-32.644318,151.1139,66.3925
-1.3926638,-78.42393,2.0949314
32.73215,74.6263,6.968939
-3.1030998,-60.059593,0.024002098
18.286098,99.55025,223.85605
45.43248,26.83728,0.23579675
8.611096,-80.13067,28.012407
44.416996,11.908151,0.061530314
28.327839,78.72674,3.1928403
51.462383,41.748615,2043.3572
23.787806,90.41716,307.3402
-8.245688,113.11157,132.51141
44.425777,-88.02011,0.014673828
23.635662,80.25823,3.2884657
-34.85868,-58.083496,19.206825
41.917553,-77.54086,2.7337065
-34.094284,18.84153,0.05739542
-7.0168896,107.60872,1.0631472
-43.712482,171.75952,0.4218584
-12.303509,-76.708405,128.10101
36.652126,104.456314,0.019845085
15.8807535,107.94564,34.953907
-5.194373,-80.62586,0.12941657
27.079214,82.95574,1.2077934
29.306042,76.3236,0.3798912
35.657913,-95.00066,18.861975
-26.47521,-49.01444,0.021964135
